companyCategory,salary_currency,py_max,r_max,py_min,r_min
Bigdata,EUD,48636.36364,49500,29727.27273,27500
Bigdata,GBP,55545.45455,54e3,33818.18182,32250
Bigdata,INR,166e4,1486666.667,642758.6207,786666.6667
Bigdata,USD,118095,111666.6667,77380,75909.09091
Bigdata,YEN,8e3,0,3e3,0
HR recruit,GBP,55e3,0,3e4,0
HR recruit,INR,920357.1429,15e5,479285.7143,12e5
HR recruit,USD,119e3,105e3,81909.09091,8e4
IOT,EUD,57500,0,4e4,0
IOT,GBP,42666.66667,0,33333.33333,0
IOT,INR,757272.7273,36e4,34e4,0
IOT,USD,114125,65e3,75550,42500
IOT,YEN,3e4,0,15e3,0
facshion tech,EUD,56250,5e4,42750,43e3
facshion tech,GBP,7e4,0,5e4,0
facshion tech,INR,1112500,0,744e3,0
facshion tech,USD,133076.92310000001,18e4,89615.38462,11e4
financial service,EUD,58500,0,49e3,0
financial service,GBP,75e3,0,45e3,0
financial service,INR,116e4,85e4,72e4,25e4
financial service,USD,141129.0323,15e4,93064.51613,1e5
fintech,GBP,45625,5e4,34125,36e3
fintech,INR,1625e3,0,825125,0
fintech,USD,140730.7692,173750,96346.15385,123750
food,INR,1070769.231,7e5,555e3,4e5
food,USD,112333.3333,0,74777.77778,0
location based serviced,EUD,55333.33333,0,33e3,0
location based serviced,INR,99e4,65e4,43e4,15e4
location based serviced,USD,115071.4286,0,72714.28571,0
on line travel,EUD,55500,0,34e3,0
on line travel,GBP,45e3,0,35e3,0
on line travel,INR,152e4,0,66e4,0
on line travel,USD,110307.6923,0,61807.69231,0
social media market,EUD,18e3,0,16e3,0
social media market,GBP,45e3,0,35e3,0
social media market,INR,2e6,24e5,8e5,6e5
social media market,USD,117222.2222,1e5,74166.66667,85e3
social media platform,GBP,75e3,0,5e4,0
social media platform,USD,88666.66667,1e5,64500,57500
startup,GBP,6e4,0,5e4,0
startup,INR,83e4,12e5,328e3,8e5
startup,USD,112e3,0,73e3,0
web development,EUD,45e3,0,3e4,0
web development,INR,1004090.909,0,454545.4545,0
web development,USD,95571.42857,0,67476.19048,0
small and medium business,EUD,21e3,0,14e3,0
small and medium business,GBP,5e4,55e3,4e4,45e3
small and medium business,USD,123809.5238,18e4,75952.38095,12e4
enterpriise software,EUD,4e4,0,2e4,0
enterpriise software,GBP,65e3,0,45e3,0
enterpriise software,INR,83e4,1e6,38e4,6e5
enterpriise software,USD,123606.0606,135e3,81090.90909,9e4
