Date,X1,X2,X3,X4,X5,X6,S
105/08/12,08,35,43,33,20,42,10
105/08/09,15,37,35,17,45,30,41
105/08/05,27,40,02,35,22,01,33
105/08/02,15,04,20,22,28,29,01
105/07/29,28,09,27,15,30,41,13
105/07/26,35,41,19,22,09,15,37
105/07/22,17,10,33,02,49,27,15
105/07/19,07,46,40,33,45,13,39
105/07/15,29,24,25,35,33,38,49
105/07/12,42,31,46,43,25,34,05
105/07/08,13,10,09,19,35,23,38
105/07/05,09,17,40,06,15,47,24
105/07/01,41,34,20,43,24,08,32
105/06/28,25,46,45,08,39,07,38
105/06/24,17,14,39,41,27,28,18
105/06/21,36,27,02,49,35,34,26
105/06/17,17,21,31,10,07,20,49
105/06/14,33,12,37,35,13,16,18
105/06/10,23,04,48,22,15,13,03
105/06/07,05,39,31,08,44,23,19
105/06/03,10,03,41,33,27,44,07
105/05/31,01,46,32,05,02,45,43
105/05/27,02,24,13,39,09,16,41
105/05/24,08,21,13,33,39,06,45
105/05/20,40,25,43,10,05,30,26
105/05/17,02,42,03,20,23,34,40
105/05/13,10,31,35,38,22,03,37
105/05/10,36,38,22,03,04,08,07
105/05/06,26,48,01,42,39,37,41
105/05/03,40,01,07,17,43,41,33
105/04/29,08,27,36,31,14,40,03
105/04/26,12,06,34,43,21,25,28
105/04/22,48,33,46,19,12,23,29
105/04/19,12,41,47,46,39,21,14
105/04/15,28,47,13,45,17,09,03
105/04/12,19,11,49,45,39,14,23
105/04/08,36,45,07,30,13,02,43
105/04/05,14,32,38,43,23,26,03
105/04/01,39,12,16,29,08,37,40
105/03/29,47,18,46,01,34,17,25
105/03/25,37,41,07,11,40,22,20
105/03/22,33,07,16,20,30,11,06
105/03/18,04,18,01,03,25,47,13
105/03/15,14,48,06,30,42,47,18
105/03/11,09,34,49,36,16,30,31
105/03/08,03,30,27,39,41,35,32
105/03/04,29,07,05,12,22,17,04
105/03/01,34,17,23,14,07,22,12
105/02/26,03,46,21,09,17,41,27
105/02/23,20,14,19,43,45,10,22
105/02/19,23,20,44,30,11,39,49
105/02/16,23,33,11,34,40,29,06
105/02/14,21,03,26,16,20,01,22
105/02/13,06,18,29,35,04,48,20
105/02/12,32,22,06,10,11,45,04
105/02/11,03,34,13,48,29,30,28
105/02/10,19,32,22,47,18,44,09
105/02/09,31,25,09,24,45,37,12
105/02/08,27,12,08,32,13,16,24
105/02/07,21,11,04,37,35,25,43
105/02/05,41,05,30,04,26,38,28
105/02/02,48,15,21,26,43,23,34
105/01/29,16,38,35,45,48,44,27
105/01/26,17,46,35,11,13,39,02
105/01/22,46,20,10,17,15,43,37
105/01/19,14,09,46,04,23,44,41
105/01/15,27,11,42,06,16,17,35
105/01/12,18,15,05,44,40,39,37
105/01/08,13,28,44,03,48,10,01
105/01/05,07,33,15,25,03,01,21
105/01/01,16,41,29,19,24,43,32
104/12/29,08,30,32,42,13,01,11
104/12/25,12,07,03,16,30,11,13
104/12/22,29,49,37,12,13,08,43
104/12/18,25,18,15,06,05,11,31
104/12/15,22,18,31,23,11,04,19
104/12/11,42,25,01,43,04,29,11
104/12/08,15,08,40,43,36,32,03
104/12/04,16,21,34,47,37,41,29
104/12/01,41,37,13,06,19,15,22
104/11/27,04,41,05,23,40,25,11
104/11/24,48,01,09,29,28,13,45
104/11/20,40,09,04,10,39,42,08
104/11/17,02,44,07,47,31,26,36
104/11/13,33,18,16,11,31,01,19
104/11/10,07,27,45,11,10,28,21
104/11/06,30,45,27,49,08,24,42
104/11/03,28,45,08,16,48,22,13
104/10/30,15,08,20,03,06,30,40
104/10/27,07,17,34,08,10,36,43
104/10/23,01,41,16,43,47,46,25
104/10/20,32,12,37,17,39,38,27
104/10/16,31,20,29,44,25,40,21
104/10/13,24,29,32,44,49,31,39
104/10/09,35,02,08,27,22,43,24
104/10/06,08,10,28,03,38,47,13
104/10/02,44,11,45,36,41,15,35
104/09/29,01,35,03,25,44,31,15
104/09/25,13,38,25,21,09,39,02
104/09/22,47,46,06,10,39,44,30
104/09/18,16,06,17,41,37,36,28
104/09/15,44,13,30,34,31,02,39
104/09/11,41,10,05,29,18,44,30
104/09/08,08,31,43,28,36,32,09
104/09/04,20,49,46,19,44,47,09
104/09/01,20,48,40,18,19,09,03
104/08/28,15,11,46,40,08,12,16
104/08/25,45,22,13,26,47,15,49
104/08/21,20,10,15,21,36,27,45
104/08/18,29,49,30,08,20,42,21
104/08/14,13,23,42,05,24,14,35
104/08/11,45,43,46,02,35,01,14
104/08/07,25,36,28,27,37,26,38
104/08/04,48,12,03,19,17,38,43
104/07/31,30,40,13,16,32,18,29
104/07/28,49,32,06,27,15,44,16
104/07/24,25,10,12,42,33,39,29
104/07/21,16,44,40,09,08,39,28
104/07/17,33,04,27,07,20,40,38
104/07/14,45,30,10,12,14,19,41
104/07/10,06,05,26,13,47,29,33
104/07/07,46,33,01,27,14,42,41
104/07/03,21,23,29,41,46,28,24
104/06/30,18,35,19,48,46,32,47
104/06/26,06,12,05,41,29,28,07
104/06/23,45,02,13,35,33,43,05
104/06/19,18,11,05,25,38,03,15
104/06/16,35,41,04,25,03,45,07
104/06/12,28,08,24,22,19,26,18
104/06/09,37,03,20,27,44,34,12
104/06/05,41,08,48,32,21,35,34
104/06/02,07,01,20,19,46,47,13
104/05/29,02,34,32,11,28,05,24
104/05/26,10,26,45,11,02,20,30
104/05/22,23,03,43,28,37,21,05
104/05/19,46,16,15,42,29,39,14
104/05/15,27,32,18,06,29,03,40
104/05/12,01,23,29,31,13,33,17
104/05/08,44,15,02,28,10,49,39
104/05/05,44,41,28,42,49,08,30
104/05/01,15,49,25,29,47,08,09
104/04/28,03,44,36,26,12,05,23
104/04/24,13,25,41,46,35,31,49
104/04/21,01,22,03,33,29,11,30
104/04/17,47,45,26,36,33,32,39
104/04/14,38,01,48,49,23,22,11
104/04/10,44,17,10,11,42,20,13
104/04/07,17,47,11,45,19,33,04
104/04/03,36,13,43,32,42,40,41
104/03/31,02,32,43,13,25,04,15
104/03/27,12,36,24,13,18,15,39
104/03/24,09,04,06,17,03,24,28
104/03/20,04,13,07,29,09,46,08
104/03/17,36,42,49,05,32,40,01
104/03/13,06,22,09,14,33,16,11
104/03/10,11,25,46,47,03,34,42
104/03/06,44,22,21,06,37,35,29
104/03/03,43,46,41,06,11,04,21
104/02/27,02,06,43,38,27,34,45
104/02/24,46,39,28,03,48,41,09
104/02/23,21,20,43,38,32,14,23
104/02/22,06,03,12,37,34,43,28
104/02/21,27,17,40,02,11,05,20
104/02/20,10,45,29,05,09,28,41
104/02/19,25,40,07,49,31,27,11
104/02/18,15,27,06,16,03,31,14
104/02/17,11,15,23,46,40,03,13
104/02/13,25,01,29,09,15,35,38
104/02/10,29,14,44,26,15,35,09
104/02/06,11,42,05,29,46,36,48
104/02/03,30,13,16,18,05,15,08
104/01/30,35,14,24,39,03,44,28
104/01/27,45,04,27,15,09,21,06
104/01/23,20,16,39,42,38,08,29
104/01/20,47,35,28,45,09,24,48
104/01/16,02,46,17,32,38,28,49
104/01/13,46,14,22,37,02,16,49
104/01/09,18,07,24,21,23,08,11
104/01/06,16,37,43,11,30,29,13
104/01/02,31,23,48,29,22,13,06
103/12/30,48,49,07,44,32,30,45
103/12/26,49,32,42,45,09,27,30
103/12/23,32,39,03,31,30,27,35
103/12/19,09,01,24,41,32,49,40
103/12/16,35,45,34,32,17,28,08
103/12/12,24,08,29,32,07,48,37
103/12/09,41,23,09,07,43,33,24
103/12/05,47,30,11,34,37,18,17
103/12/02,11,26,42,13,09,23,47
103/11/28,35,44,01,40,10,21,36
