期別,開獎日,兌獎截止,銷售金額,獎金總額,獎號_1,獎號_2,獎號_3,獎號_4,獎號_5,獎號_6,特別號,頭獎_中獎注數,貳獎_中獎注數,參獎_中獎注數,肆獎_中獎注數,伍獎_中獎注數,陸獎_中獎注數,柒獎_中獎注數,普獎_中獎注數,頭獎_單注獎金,貳獎_單注獎金,參獎_單注獎金,肆獎_單注獎金,伍獎_單注獎金,陸獎_單注獎金,柒獎_單注獎金,普獎_單注獎金,頭獎_累積至次期獎金,貳獎_累積至次期獎金,參獎_累積至次期獎金,肆獎_累積至次期獎金,伍獎_累積至次期獎金
105000071,105/08/12,105/11/12,78187550,63050329,08,35,43,33,20,42,10,0,0,17,66,1251,1911,21050,24088,0,0,81306,13961,2025,1000,400,400,35341581,2904787,0,0,0
105000070,105/08/09,105/11/09,79682500,43825375,15,37,35,17,45,30,41,0,0,36,76,1355,1770,18205,23493,0,0,42293,13355,2060,1000,400,400,18524607,1522570,0,0,0
105000069,105/08/05,105/11/05,106107950,306863197,27,40,02,35,22,01,33,1,1,32,84,1818,2605,26380,33497,271720432,1908214,59631,15144,1924,1000,400,400,0,0,0,0,0
105000068,105/08/02,105/11/02,100001650,284598110,15,04,20,22,28,29,01,0,2,38,126,1831,2834,26918,32659,0,1739451,44741,8995,1702,1000,400,400,248503825,0,0,0,0
105000067,105/07/29,105/10/29,98424000,260310379,28,09,27,15,30,41,13,0,0,27,95,1691,2272,23964,31575,0,0,65879,12482,1928,1000,400,400,227818467,1778736,0,0,0
105000066,105/07/26,105/10/26,95455250,239899326,35,41,19,22,09,15,37,0,1,27,88,1633,2434,23987,31133,0,3356285,62263,12735,1887,1000,400,400,206177179,0,0,0,0
105000065,105/07/22,105/10/22,92361650,216141278,17,10,33,02,49,27,15,0,0,28,95,1562,2184,22809,28929,0,0,59827,11755,1966,1000,400,400,185723757,1675182,0,0,0
105000064,105/07/19,105/10/19,88800350,193957335,07,46,40,33,45,13,39,0,1,32,94,1391,2280,22245,24891,0,1662347,51948,11789,2190,1000,400,400,165342371,0,0,0,0
105000063,105/07/15,105/10/15,89791000,175442258,29,24,25,35,33,38,49,0,1,23,63,1573,1960,19381,28508,0,3272930,73746,17948,1976,1000,400,400,145117143,0,0,0,0
105000062,105/07/12,105/10/12,84696350,151879481,42,31,46,43,25,34,05,0,0,12,50,1288,1962,21283,24571,0,0,131396,21023,2244,1000,400,400,124480445,1576763,0,0,0
105000061,105/07/08,105/10/08,69608650,132848889,13,10,09,19,35,23,38,0,1,25,81,1556,1810,18136,26093,0,4106336,45079,9275,1327,1000,400,400,105296489,0,0,0,0
105000060,105/07/05,105/10/05,82639550,121407315,09,17,40,06,15,47,24,0,0,23,72,1735,2025,19587,30092,0,0,61448,13086,1493,1000,400,400,91584785,2979347,0,0,0
105000059,105/07/01,105/10/01,82486250,100703497,41,34,20,43,24,08,32,0,0,28,60,1226,1838,18869,24703,0,0,55929,17400,2341,1000,400,400,74389525,1566038,0,0,0
105000058,105/06/28,105/09/28,80286000,83677088,25,46,45,08,39,07,38,0,1,28,61,1379,1932,20490,25697,0,2946623,50893,15574,1894,1000,400,400,55336060,0,0,0,0
105000057,105/06/24,105/09/24,83711450,65526768,17,14,39,41,27,28,18,0,0,32,57,1630,1905,19243,27698,0,0,47549,17796,1711,1000,400,400,37998195,1521593,0,0,0
105000056,105/06/21,105/09/21,84580050,48870124,36,27,02,49,35,34,26,0,1,28,69,1362,1927,19767,24982,0,3952642,57198,15473,2155,1000,400,400,19485471,0,0,0,0
105000055,105/06/17,105/09/17,136223550,216441691,17,21,31,10,07,20,49,1,0,51,106,2823,3078,32659,48991,170123753,0,46099,14786,1526,1000,400,400,0,2351097,0,0,0
105000054,105/06/14,105/09/14,121208400,181781727,33,12,37,35,13,16,18,0,2,39,98,2089,2854,30277,38833,0,1084998,55640,14761,1904,1000,400,400,141518739,0,0,0,0
105000053,105/06/10,105/09/10,159556600,169144369,23,04,48,22,15,13,03,0,1,49,138,2832,4023,41344,52479,0,2772235,56576,13392,1794,1000,400,400,115117107,0,0,0,0
