_id,address,cinema_id,gmap_data,location,name,phone,url,lat,long
45,台北市信義區松壽路18號,45,"{'results': [{'address_components': [{'long_name': '18', 'short_name': '18', 'types': ['street_number']}, {'long_name': 'Songshou Road', 'short_name': 'Songshou Road', 'types': ['route']}, {'long_name': 'Xinyi District', 'short_name': 'Xinyi District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '110', 'short_name': '110', 'types': ['postal_code']}], 'formatted_address': 'No. 18, Songshou Road, Xinyi District, Taipei City, Taiwan 110', 'geometry': {'location': {'lat': 25.0356839, 'lng': 121.56681}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0370328802915, 'lng': 121.5681589802915}, 'southwest': {'lat': 25.0343349197085, 'lng': 121.5654610197085}}}, 'place_id': 'ChIJG2UmvbCrQjQROoDjP4rFyts', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.56681, 25.0356839]}",信義威秀影城,02-87805566,https://tw.movies.yahoo.com/theater_result.html/id=45,121.56681,121.56681
46,台北市八德路四段138號B1(京華城購物中心地下一樓),46,"{'results': [{'address_components': [{'long_name': '138號', 'short_name': '138號', 'types': ['street_number']}, {'long_name': 'Section 4, Bade Road', 'short_name': 'Section 4, Bade Road', 'types': ['route']}, {'long_name': 'Songshan District', 'short_name': 'Songshan District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '105', 'short_name': '105', 'types': ['postal_code']}], 'formatted_address': 'No. 138號, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105', 'geometry': {'location': {'lat': 25.0483545, 'lng': 121.5623004}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0497034802915, 'lng': 121.5636493802915}, 'southwest': {'lat': 25.0470055197085, 'lng': 121.5609514197085}}}, 'place_id': 'ChIJp3ENeZWrQjQRaRuE9wSdUNM', 'types': ['establishment', 'point_of_interest', 'shopping_mall']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5623004, 25.0483545]}",喜滿客京華影城,02-37622001,https://tw.movies.yahoo.com/theater_result.html/id=46,121.5623004,121.5623004
47,台北市松山區復興南路一段39號10樓,47,"{'results': [{'address_components': [{'long_name': '39', 'short_name': '39', 'types': ['street_number']}, {'long_name': 'Section 1, Fuxing South Road', 'short_name': 'Section 1, Fuxing South Road', 'types': ['route']}, {'long_name': 'Songshan District', 'short_name': 'Songshan District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '105', 'short_name': '105', 'types': ['postal_code']}], 'formatted_address': 'No. 39, Section 1, Fuxing South Road, Songshan District, Taipei City, Taiwan 105', 'geometry': {'location': {'lat': 25.0460629, 'lng': 121.5441717}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0474118802915, 'lng': 121.5455206802915}, 'southwest': {'lat': 25.0447139197085, 'lng': 121.5428227197085}}}, 'place_id': 'ChIJn7Qwk9urQjQRno5Q25SiE60', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5441717, 25.0460629]}",國賓影城(微風廣場),02-87721234,https://tw.movies.yahoo.com/theater_result.html/id=47,121.5441717,121.5441717
50,台北市內湖區康寧路三段72號6樓,50,"{'results': [{'address_components': [{'long_name': '72', 'short_name': '72', 'types': ['street_number']}, {'long_name': 'Section 3, Kangning Road', 'short_name': 'Section 3, Kangning Road', 'types': ['route']}, {'long_name': 'Neihu District', 'short_name': 'Neihu District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '114', 'short_name': '114', 'types': ['postal_code']}], 'formatted_address': 'No. 72, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114', 'geometry': {'location': {'lat': 25.0700488, 'lng': 121.6113319}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0713977802915, 'lng': 121.6126808802915}, 'southwest': {'lat': 25.0686998197085, 'lng': 121.6099829197085}}}, 'place_id': 'ChIJ2Ym5Y7usQjQRrNkDOZmZv_c', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.6113319, 25.0700488]}",哈拉數位影城,02-26322693,https://tw.movies.yahoo.com/theater_result.html/id=50,121.6113319,121.6113319
51,台北市松山區南京東路三段133號,51,"{'results': [{'address_components': [{'long_name': '133', 'short_name': '133', 'types': ['street_number']}, {'long_name': 'Section 3, Nanjing East Road', 'short_name': 'Section 3, Nanjing East Road', 'types': ['route']}, {'long_name': 'Zhongshan District', 'short_name': 'Zhongshan District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '10491', 'short_name': '10491', 'types': ['postal_code']}], 'formatted_address': 'No. 133, Section 3, Nanjing East Road, Zhongshan District, Taipei City, Taiwan 10491', 'geometry': {'location': {'lat': 25.0523025, 'lng': 121.5413286}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.05365148029151, 'lng': 121.5426775802915}, 'southwest': {'lat': 25.0509535197085, 'lng': 121.5399796197085}}}, 'partial_match': True, 'place_id': 'ChIJdUDCPd6rQjQRTkO1NOqzh7o', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5413286, 25.0523025]}",大千電影院,02-87706565,https://tw.movies.yahoo.com/theater_result.html/id=51,121.5413286,121.5413286
126,台北市和平東路3段63號2F,126,"{'results': [{'address_components': [{'long_name': '63', 'short_name': '63', 'types': ['street_number']}, {'long_name': 'Section 3, Heping East Road', 'short_name': 'Section 3, Heping East Road', 'types': ['route']}, {'long_name': 'Da’an District', 'short_name': 'Da’an District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '106', 'short_name': '106', 'types': ['postal_code']}], 'formatted_address': 'No. 63, Section 3, Heping East Road, Da’an District, Taipei City, Taiwan 106', 'geometry': {'location': {'lat': 25.0247506, 'lng': 121.5493151}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0260995802915, 'lng': 121.5506640802915}, 'southwest': {'lat': 25.0234016197085, 'lng': 121.5479661197085}}}, 'partial_match': True, 'place_id': 'ChIJDeEgHTKqQjQR310hIRbPPPQ', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5493151, 25.0247506]}",梅花數位影城,02-27326968,https://tw.movies.yahoo.com/theater_result.html/id=126,121.5493151,121.5493151
144,台北市松山區民生東路五段190號3樓,144,"{'results': [{'address_components': [{'long_name': '190', 'short_name': '190', 'types': ['street_number']}, {'long_name': 'Section 5, Minsheng East Road', 'short_name': 'Section 5, Minsheng East Road', 'types': ['route']}, {'long_name': 'Songshan District', 'short_name': 'Songshan District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '105', 'short_name': '105', 'types': ['postal_code']}], 'formatted_address': 'No. 190, Section 5, Minsheng East Road, Songshan District, Taipei City, Taiwan 105', 'geometry': {'location': {'lat': 25.0585858, 'lng': 121.5642769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.05993478029151, 'lng': 121.5656258802915}, 'southwest': {'lat': 25.0572368197085, 'lng': 121.5629279197085}}}, 'place_id': 'ChIJFSIb842rQjQRB8fuMX9rIrg', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5642769, 25.0585858]}",新民生戲院,02-27653373,https://tw.movies.yahoo.com/theater_result.html/id=144,121.5642769,121.5642769
168,台北市信義區菸廠路80號B2,168,"{'results': [{'address_components': [{'long_name': '80', 'short_name': '80', 'types': ['street_number']}, {'long_name': 'Yanchang Road', 'short_name': 'Yanchang Road', 'types': ['route']}, {'long_name': 'Xinyi District', 'short_name': 'Xinyi District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '110', 'short_name': '110', 'types': ['postal_code']}], 'formatted_address': 'No. 80, Yanchang Road, Xinyi District, Taipei City, Taiwan 110', 'geometry': {'bounds': {'northeast': {'lat': 25.0450158, 'lng': 121.5614577}, 'southwest': {'lat': 25.0449988, 'lng': 121.5614576}}, 'location': {'lat': 25.0450158, 'lng': 121.5614576}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': 25.0463562802915, 'lng': 121.5628066302915}, 'southwest': {'lat': 25.04365831970849, 'lng': 121.5601086697085}}}, 'partial_match': True, 'place_id': 'EikxMTDlj7DngaPlj7DljJfluILkv6HnvqnljYDoj7jlu6Dot684MOiZnw', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5614576, 25.0450158]}",誠品電影院,02-66365888,https://tw.movies.yahoo.com/theater_result.html/id=168,121.5614576,121.5614576
186,台北市南港區忠孝東路7段299號11、12、13、14樓,186,"{'results': [{'address_components': [{'long_name': '299', 'short_name': '299', 'types': ['street_number']}, {'long_name': 'Section 7, Zhongxiao East Road', 'short_name': 'Section 7, Zhongxiao East Road', 'types': ['route']}, {'long_name': 'Nangang District', 'short_name': 'Nangang District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '115', 'short_name': '115', 'types': ['postal_code']}], 'formatted_address': 'No. 299, Section 7, Zhongxiao East Road, Nangang District, Taipei City, Taiwan 115', 'geometry': {'bounds': {'northeast': {'lat': 25.0521389, 'lng': 121.607087}, 'southwest': {'lat': 25.0521221, 'lng': 121.6070844}}, 'location': {'lat': 25.0521221, 'lng': 121.607087}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': 25.0534794802915, 'lng': 121.6084346802915}, 'southwest': {'lat': 25.0507815197085, 'lng': 121.6057367197085}}}, 'partial_match': True, 'place_id': 'EjMxMTXlj7DngaPlj7DljJfluILljZfmuK_ljYDlv6DlrZ3mnbHot6_kuIPmrrUyOTnomZ8', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.607087, 25.0521221]}",喜樂時代影城,02-27888185,https://tw.movies.yahoo.com/theater_result.html/id=186,121.607087,121.607087
35,台北市萬華區西寧南路36號4樓(西門町獅子林商業大樓),35,"{'results': [{'address_components': [{'long_name': '36', 'short_name': '36', 'types': ['street_number']}, {'long_name': 'Xining South Road', 'short_name': 'Xining South Road', 'types': ['route']}, {'long_name': 'Wanhua District', 'short_name': 'Wanhua District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '108', 'short_name': '108', 'types': ['postal_code']}], 'formatted_address': 'No. 36, Xining South Road, Wanhua District, Taipei City, Taiwan 108', 'geometry': {'location': {'lat': 25.0452183, 'lng': 121.5063946}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0465672802915, 'lng': 121.5077435802915}, 'southwest': {'lat': 25.0438693197085, 'lng': 121.5050456197085}}}, 'place_id': 'ChIJ1Vx1zQ6pQjQRYF59otXUh80', 'types': ['establishment', 'point_of_interest']}, {'address_components': [{'long_name': '4樓', 'short_name': '4樓', 'types': ['floor']}, {'long_name': '36號', 'short_name': '36號', 'types': ['street_number']}, {'long_name': 'Xining South Road', 'short_name': 'Xining South Road', 'types': ['route']}, {'long_name': 'Wanhua District', 'short_name': 'Wanhua District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '108', 'short_name': '108', 'types': ['postal_code']}], 'formatted_address': '108, Taiwan, Taipei City, Wanhua District, Xining South Road, 36號4樓', 'geometry': {'location': {'lat': 25.0452671, 'lng': 121.5061354}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0466160802915, 'lng': 121.5074843802915}, 'southwest': {'lat': 25.0439181197085, 'lng': 121.5047864197085}}}, 'place_id': 'ChIJZdcmMwmpQjQRmYZCzheTvUU', 'types': ['establishment', 'movie_theater', 'point_of_interest']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5063946, 25.0452183]}",台北新光影城,02-23146668,https://tw.movies.yahoo.com/theater_result.html/id=35,121.5063946,121.5063946
36,台北市萬華區武昌街二段89號,36,"{'results': [{'address_components': [{'long_name': '89', 'short_name': '89', 'types': ['street_number']}, {'long_name': 'Section 2, Wuchang Street', 'short_name': 'Section 2, Wuchang St', 'types': ['route']}, {'long_name': 'Wanhua District', 'short_name': 'Wanhua District', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Taipei City', 'short_name': 'Taipei City', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Taiwan', 'short_name': 'TW', 'types': ['country', 'political']}, {'long_name': '108', 'short_name': '108', 'types': ['postal_code']}], 'formatted_address': 'No. 89, Section 2, Wuchang St, Wanhua District, Taipei City, Taiwan 108', 'geometry': {'location': {'lat': 25.0455506, 'lng': 121.5039716}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.0468995802915, 'lng': 121.5053205802915}, 'southwest': {'lat': 25.0442016197085, 'lng': 121.5026226197085}}}, 'place_id': 'ChIJfy57tgipQjQRElFFSLEuAQ8', 'types': ['street_address']}], 'status': 'OK'}","{'type': 'Point', 'coordinates': [121.5039716, 25.0455506]}",in89豪華數位影城,02-23315077,https://tw.movies.yahoo.com/theater_result.html/id=36,121.5039716,121.5039716
