_id,company,description,duration,imdb_score,intro_photo,last_updated_at,movie_id,name_in_ch,name_in_en,release_date,release_date_str
6995,可樂電影,"★繼《歡樂好聲音》後，2017年暑假最激勵人心的追夢冒險動畫！
★《黑天鵝》編舞指導全新設計翩然芭蕾舞蹈，神還原古典優雅的19世紀巴黎
★《霓虹惡魔》《黑魔女：沉睡魔咒》精靈系女星 艾兒芬妮X《救命解藥》《蜘蛛人驚奇再起２: 電光之戰》新生代男神接班人 丹恩迪漢 攜手獻聲大銀幕！
★《Call Me Maybe》《I Really Like You》加拿大新甜心人氣偶像卡莉•蕾•傑普森獻聲大銀幕初體驗！
★「如同動畫版《舞動人生》激勵人心，充滿熱情的動人之作」—英國《衛報》
★「艾兒芬妮領銜獻聲主演，帶來一部歡動十足且吸引觀眾的動畫作品，並喚起每位觀眾們心中的追夢熱情。」─ 美國著名影評雜誌《綜藝日報》
孤兒費莉西從小就懷著跳舞的夢想。她計畫和她想成為發明家的死黨維克多，一起逃離孤兒院，離開這個位於布列塔尼的小鎮，前往花都巴黎追尋跳舞的夢想。在連巴黎鐵塔都尚未建成的19世紀末，巴黎被喻為所有事物都充滿無限希望的夢想之都！費莉西下定決心要進入舞蹈學院修習芭蕾，在出現了強勁的芭蕾高手、愛慕他的王子…等一連串的阻礙與冒險後，費莉西究竟能否實現她最瘋狂的夢想─成為首席芭蕾舞伶，並站上巴黎歌劇院的舞台舞出真我呢？
由法國高蒙Gaumont公司、加拿大動畫工作室共同出品，耗資7年製作的勵志冒險動畫電影《芭蕾奇緣》，片中最主要的優美芭蕾舞元素，許多舞蹈和音樂都出自世界經典芭蕾舞劇《胡桃夾子》、《灰姑娘》等，再經過《黑天鵝》頂尖編舞指導設計後製作而成。團隊在芭蕾舞動畫製作過程中力求讓影片的舞蹈逼近真實，有趣生動的題材更吸引《黑魔女：沉睡魔咒》艾兒芬妮、《蜘蛛人驚奇再起２》丹恩迪漢加入配音，以神曲《Call Me Maybe》紅遍全球的加拿大人氣偶像卡莉•蕾•傑普森更初次在大銀幕獻聲，絕對是今年暑假最熱鬧歡騰的闔家觀賞首選！",90,6.8,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/gkrSUMNwUTzAscI7nuHA-560x800.jpg,2017-08-08 00:45:55.200,6995,芭蕾奇緣,Ballerina,2017-07-28 00:00:00.000,2017-07-28
6989,暗光鳥,"★ 《觀光客出沒，注意！》英國才女編劇愛麗絲羅威在懷孕期間，自編自導自演親身詮釋懷孕嗜殺女主角！ ★ 美國知名影評網站爛蕃茄95%超高評價好評 ★ 2016 英國獨立電影獎最佳新導演提名 ★ 2016 澳洲怪物電影節（Monster Fest）怪物創新獎（Monster Innovation Award） ★ 2016 斯德哥爾摩影展最佳影片提名 ★ 2017 鹿特丹國際影展MovieZone獎提名 ★ 2017 美國SXSW南方音樂節 ★ 2017 英國倫敦恐怖電影節 ★ 2016 威尼斯國際影展 ★ 2016 多倫多國際影展
 
大腹便便的露絲（愛麗絲羅威 飾），雙眼沒有慈母的溫柔，卻盡是殺戮嗜血的凶光！原來是她還沒出世就無比厭世的寶寶，竟然從她的子宮內指揮著露絲雙手染血。邪惡的胎兒從子宮向露絲耳語，教導她如何引誘並殺掉那些待宰羔羊，也讓露絲深陷於殺人快感與罪惡自責的內心煎熬。良心掙扎、空虛寂寞、產前憂鬱的緊繃壓力讓露絲的靈魂瀕臨破碎，她必須在即將成為人母的前一刻，從獲得救贖與走向毀滅中做出抉擇……",90,6.0,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/u50Yneih7r7KYInWKSPC-1984x2834.JPG,2017-08-08 00:45:55.629,6989,幫寶弒,Prevenge,2017-07-28 00:00:00.000,2017-07-28
6963,傳影互動 ifilm,八歲的洋洋成長於台北的一個中產家庭，身為電腦公司總經理的父親NJ（吳念真飾）面臨生意及婚姻的交叉口，母親 敏敏（金燕玲 飾）面對一成不變、成日照顧家中病倒的母親的生活，決心尋求改變，就讀北一女的姊姊 婷婷則是處於悸動的青春年華。洋洋喜歡拿著相機拍人的後腦勺，以他的視角來看大人們的世界，拍攝家人看不到的「背面」，城市中的人們看似接近，但都各自有著無可逃避、必須面對的苦惱，面對人生的提問，答案或許沒有這麼複雜，卻總是不完美。 【關於電影】 睽違17年終於在台灣上映！大銀幕上重現台北光影 坎城影展最佳導演！楊德昌逝世十周年紀念作 楊德昌導演於2000年獲得了當年度坎城影展的最佳導演的榮譽，成為台灣影史上的首位坎城最佳導演，台灣之光的名號當之無愧，然而他的得獎作《一一》卻因電影版權及發行問題，始終沒有機會在台灣院線上映，也沒有正式發行過台版DVD，影迷只能透過國外發行的DVD 來欣賞導演的作品，如今《一一》在經數位修復後，017年於楊德昌逝世十周年之際，終於能正式地於故鄉台灣首映，影迷能一同品味楊德昌導演眼中的台灣景象。 在台灣電影工業低迷的時期，當時電影的籌拍面臨許多資金的困難，若非國外資金的協助，《一一》這部電影永遠無法呈現在觀眾面前。日本影視公司Pony Canyon在1998年釜山影展提出一個亞洲電影計畫，投資三名亞洲導演的電影，分別是關進鵬、楊德昌及岩井俊二，楊導原本計畫了一個涉及五座大城市的大型拍攝案，但因劇本遲遲未能完成而告終結，後來想到一個以前構思過的劇本，《一一》的雛形就此誕生，根據法國世界報的訪問，楊導表示靈感來自朋友的故事：「他的的父親陷入長期深度昏迷，家人必須每天堅持和他講話，才有希望痊癒。」 「那真的是一段台灣新電影最好的時光。每個人都意氣滿滿、雄心壯志。」─侯孝賢 「在《一一》之前，從《恐怖份子》到《麻將》，楊德昌一直試圖用一部電影來歸納全部的生活，想用一部電影講述清楚他眼中的台灣的全部，《一一》做到了。─賈樟柯 「楊德昌的電影有一種獨特的、震懾人心的美。不論是光影、色彩、人物、活動，還是人物周圍的城市生活，都能在他的鏡頭中互相協調配合」─名導 馬丁史柯西斯 「《一一》是一部緊湊、引人入勝的三小時鉅作，引領人們進入當代台灣的日常生活，具備份量也充滿深度」 ─紐約時報,173,,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/44L77m8Vo2IkHrPU3rCy-1476x2127.png,2017-08-08 00:45:56.087,6963,一一,Yiyi: A One and a Two,2017-07-28 00:00:00.000,2017-07-28
6934,前景娛樂,★繼《龍貓》後，動畫電影再度勇奪旬報日本電影年度十大佳片第一 ★橫掃日本各大電影獎項，日本電影金像獎最佳動畫片 ★日本票房超越25億日圓、190萬累積入場人次 ★連續15週登上日本票房前10位 ★日本權威媒體「filmarks」與「Pia映畫生活」2016年度電影滿意度第一名 出身廣島的鈴，個性憨直可愛，畫得一手好畫，總用獨特的想像力勾勒出奇幻的美好世界。1944年，十八歲的她離開家鄉，嫁到吳市。稚氣未脫的新嫁娘粗心手拙，在這個陌生的軍港城鎮裡，跌跌撞撞地開啟了新的生活。隨著空襲加劇，生活愈發艱困，但鈴堅毅幽默面對，也漸漸發現，異鄉成了家鄉，亂世裡原無愛情的婚姻，竟也在她私密畫冊中一幅幅展開幸福。戰爭結束後，幾乎被摧毀的小鎮重新綴起閃爍燈火。「這不是我計畫的人生，但此時此刻，是我最好的人生。」鈴與她勇敢選擇的人生，繼續展開。 繼《龍貓》後，《謝謝你，在世界的角落找到我》再度成為史上另一部奪下日本旬報年度最佳影片的動畫作品，並在日本獲得廣大票房肯定，累計超越25億日圓。本片改編自河野史代得獎漫畫作品，曾與宮崎駿合作《魔女宅急便》的愛徒片渆須直執導。片中女主角鈴則由《小海女》甜美人氣女星Non擔任配音，這也是她首次獻聲動畫電影。,130,8.1,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/zmXYHiFlh1j7WkwCLx9g-2017x2859.jpg,2017-08-08 00:45:56.542,6934,謝謝你，在世界的角落找到我,In This Corner of the World,2017-07-28 00:00:00.000,2017-07-28
6922,龍祥,《極凍之城》改編自安東尼約翰斯頓同名漫畫，由驚艷世人的新生代暴力美學《捍衛任務》導演大衛雷奇所執導，擅長快節奏動作設計與擁有獨特影像魅力，並由《300壯士》編劇寇特強斯塔執筆，金獎影后莎莉賽隆領銜主演，加上《分裂》詹姆士麥艾維、《金牌特務》蘇菲亞波提拉加盟演出，共同打造出一部魅力獨具的諜報動作電影。 冷戰時期，柏林圍牆倒塌前夕，一名英國軍情六處（MI6）的臥底在德國離奇身亡，莎莉塞隆飾演的女間諜必須深入敵軍，找出其生前所藏匿的秘密名單，名單上列有所有在柏林執勤的臥底。在誰都無法信任的時代，她將冒著空前的危險拯救所有的特務！,115,7.1,https://s.yimg.com/vu/movies/fp/mpost/69/22/6922.jpg,2017-08-08 00:45:56.962,6922,極凍之城,Atomic Blonde,2017-07-28 00:00:00.000,2017-07-28
6890,天馬行空,將世界和平和人們的幸福全部寄託給花吧 改編自鬼塚忠的同名原著小說，從池坊專好於前田邸向豐臣秀吉展露的「大砂物」傳說產生靈感，譜寫出新的故事。16世紀後葉，織田信長於本能寺倒下，天下第一之座讓給了豐臣秀吉，戰亂時代終於結束。不過，秀吉實施的高壓政策卻讓人民十分痛苦。在這之中，有一名叫池坊專好的僧侶挺身而出，將以美麗的花朵為武器挑戰秀吉…。 池坊專好是在華道池坊歷史中留名的花僧中，得到高評價的插花名手「專好」，面對天下第一之座，他的武器不是劍刃而是具有生命的花草。本片由華道家元池坊監修，電影中登場的花道作品皆由華道家元池坊的教授群擔任，是一部處處充滿了池坊華道之心，有笑有淚的電影。,128,,https://s.yimg.com/vu/movies/fp/mpost/68/90/6890.jpg,2017-08-08 00:45:57.389,6890,花戰,Flower and Sword,2017-07-28 00:00:00.000,2017-07-28
6872,環球影業,《魅惑》是由著名作家兼導演蘇菲亞柯波拉最新執導的驚悚作品。 故事描述在南北戰爭時期，一所位處南方的女子寄宿學校的師生，收容了一位受傷的敵方士兵。在提供避難所並照料他傷口的這段時間，緊繃的性壓力和無形的對立與競爭不斷蔓延，種種禁忌不斷被挑戰，出乎意外的事件也不斷發生。,94,7.0,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/p8ph0cCC6fLZtFSN6hew-4097x5906.jpg,2017-08-08 00:45:57.934,6872,魅惑,The Beguiled,2017-07-28 00:00:00.000,2017-07-28
6150,威視電影,★繼《那些年》後九把刀全新原創驚悚鉅作，翻轉華語電影新暴力美學 ★當史上最狂高中生招惹到嗜血的駭人怪物，究竟誰比較恐怖？ 愛打小報告的資優生－林書偉，長期被全班同學欺負。特別是班上的風雲人物三人組（權威的老大、愛跟風的老二、搞笑的老三）更是每天捉弄他。某日，女班導師逼迫四個人一同合作社區關懷，照顧獨居老人。某一夜，四人決定盜取失智的獨居老人家中的保險箱，不料，卻在偷竊的過程中，在大樓裡捕獲一頭會吃人的人形小怪物。 好奇心使然，每天放學過後，四人開始用各種稀奇古怪的方式研究小怪物，希望知道牠的來歷、特性以及弱點。每天一起惡搞竟然變成了林書偉與風雲三人組的友情升溫催情劑。 四個男孩的心智日漸扭曲，最終的友情也受到了考驗。 以青春為名的惡意，不知自己惹禍上身的四個男孩，即將引發一連串始料未及的殺機！ 【關於電影】 創作起源 九把刀：這不是一部怪物電影，這是一部有怪物的電影。 導演九把刀的第一部電影長片作品《那些年，我們一起追的女孩》2011年上映時，不僅票房創下空前紀錄、也捧紅了新一代演員，更在全台帶起一陣校園青春炫風；而早在《那些年，我們一起追的女孩》電影上映前，九把刀腦中早已在醞釀另個全新的故事：當E.T.遇到可愛的小女孩，最後安全地騎著腳踏車回家；當小恐龍遇到好心小男孩，便快快樂樂回到尼斯湖游泳當大水怪；當聶小倩遇到寧采臣，結局是順利投胎轉世。但是，如果E.T.小恐龍聶小倩，他們今天遇上的剛好都不是一個善意的人呢？受到電影《鄰家女孩》的啟發，九把刀開始動筆寫劇本；當一群小學生抓到一隻小怪物，然後極盡所能地虐待牠的故事，也就是本片《報告老師！怪怪怪怪物！》的故事原型。 前所未見華語青春驚悚類型，翻轉台灣電影新暴力美學 電影《報告老師！怪怪怪怪物！》是導演九把刀睽違六年、構思八年，耗資新台幣一億元打造的青春驚悚鉅片，有別以往小說改編，全新唯一原創原著劇本。題材涵括九把刀一貫擅長的校園青春與無厘頭，增加「怪物」元素讓驚悚與娛樂的戲劇張力拉拔到最大，形成前所未見的華語青春驚悚類型電影。影片中快節奏剪接與堆疊的噪雜感，大膽處理血腥與動作等畫面；怪物臉部與肢體大量地獸化變形，包括瞳孔、獠牙、指甲、皮膚等，後製特效強化肌膚裡蠱蟲的竄動、顴骨的膨脹、肌肉與關節在狩獵或者是動物性反應時候的變形等，企圖翻轉台灣電影新暴力美學。故事中不忘對於人性赤裸且寫實的描寫，直指人心最深層讓人不敢直視的一面。 電影主創團隊陣容堅強，延攬曾多次榮獲香港電影金像獎以及金馬獎的最佳造型設計 吳里璐、金獎配樂大師 侯志堅、動作指導 洪金寶之子洪天祥等兩岸三地黃金組合！演員部分，導演九把刀開拍前就選定兩個心目中最合適的演員，一個是飾演關鍵性角色班導師的陳珮騏，需要與班上最壞最狂的學生老大相互制衡；陳珮騏擁有豐富表演經驗、且明確清楚角色的設定與可能性，她的存在更是激發對手演員的潛力與火花。另一個不存在且需要重新塑造的角色「怪物」，導演九把刀希望找到一個外貌亮眼出色、與怪物反差極大的女演員來詮釋這個角色；劉奕兒對於角色有著強大的認同感，好動與好強的個性讓她覺得自己生來就是要演繹怪物這個角色。導演九把刀的上一部作品《那些年，我們一起追的女孩》啟用素人演員，獨具慧眼的他一舉捧紅柯震東、陳妍希等人；這一次從全台的千人海選中挑出了包括蔡凡熙、賴浚程、陶伯萌、梁洳瑄等極具潛力的新演員；再加上曾在張榮吉導演的電影作品《共犯》中表現亮眼的鄧育凱，史上最狂高中生屁孩軍團儼然誕生。 上學從來都不是一件容易的事！ 導演九把刀電影故事的設定常發生在校園，「校園」是一個大多數人可以感同身受的地方，衍然是一個社會的縮影，裡面有決定班上氛圍的強大執法者 老師、帶風向的霸凌者、被霸凌被貼標籤的學生、什麼都不做不講的沈默者；而我們每個人的成長經驗裡，或多或少都會成為其中的一個角色。「校園」也是一個扭曲的「倒數計時器」，因為有固定期限，在期限中所遭受到的對待或者是感受，我們常會被迫選擇忍受、甚至增加忍受的寬度；其實，上學從來都不是一件容易的事情。 導演九把刀把自己學生時期的經驗、更多對於社會與大環境的觀察及省思、與近幾年深潛的強大能量釋放進入劇本裡；當一個長期弱勢、被欺負的人，遇到一個比他更弱勢的人，他究竟是會被邀請且同意一起來欺負這個更弱勢的人，亦或者是他會因為同理心而站出來反抗？電影中的台詞不時進行價值觀的辯論與探討，「我想做對最後一件事」、「想要做好人，又沒種做好人」、「一直欺負怪物只會讓我們變得越來越壞，不會變成好人」、「我和他們不一樣」。九把刀說：「這是一個關於『選擇』、關於『救贖』的故事，也是一個自我療癒的過程；希望可以透過電影的力量，讓更多的人可以從中得到療癒、或者是釋放。」,113,6.6,https://s.yimg.com/vu/movies/fp/mpost/61/50/6150.jpg,2017-08-08 00:45:58.410,6150,報告老師！怪怪怪怪物！,Mon Mon Mon Monsters!,2017-07-28 00:00:00.000,2017-07-28
7003,甲上電影,"★金獎導演鈕承澤繼《艋舺》後又一熱血沸騰新作！
★今年暑假最熱血青春校園電影！
★國際影壇新星景甜、新生代小鮮肉歐豪首度銀幕比拚魅力！
 
青春就是兄弟有難，放學開戰！
青禾男高是一所充滿青春熱血的校園，裡面的每一個學生都有他們自己的價值觀，荊浩(歐豪飾)和他的四個死黨阿屁、潭嘉木、么雞和二餅經常在學校打抱不平，那些專門欺負同學的學霸看到他們都沒有什麼好下場！尤其是平常耀武揚威的日本學生柴田(林遣都飾)更是跟荊浩勢不兩立，在那個特殊的時代背景中，雙方各據一方保持著微妙的平衡。
 
直到一個年輕貌美的女教師柳禾(景甜飾)出現在校園中，在男同學間產生了漣漪和波瀾，也破壞了原本的平衡，牽動了他們之間的激戰如箭在弦一觸即發…",100,,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/48iBmlfqQaqwda4Dtla5-893x1276.jpg,2017-08-08 00:45:58.938,7003,青禾男高,Fist & Faith,2017-07-21 00:00:00.000,2017-07-21
7000,車庫娛樂,"★ 大膽尺度超越《格雷的五十道陰影》，情慾纏綿更勝《藍色是最溫暖的顏色》
★ 全女性劇組精心打造，挑戰女性電影人不平等現狀
★ 2016多倫多國際影展
★ 2016雪梨同志嘉年華影展最佳導演
★ 2016蘇格蘭格拉斯哥影展
★ 2016墨爾本國際影展
★ 2016土耳其伊斯坦堡影展
 
今年最大膽性感的電影，加拿大女導演艾波穆倫(April Mullen)講述了兩個女人之間意想不到的浪漫愛情故事，她們洋溢熱情的關係將永遠改變了彼此的生活。
 
《慾亂唇迷》罕見地以全女性劇組拍攝，揭示最真摯的愛情可能發生在生活最凌亂的時刻。賈絲敏（娜塔莉克莉兒 飾）是一位與未婚夫同居的時尚編輯，在一次與好友的狂歡聚會中，她遇到了剛失戀的工人妲拉絲（艾芮卡琳德 飾）。妲拉絲旋即對賈絲敏展開熱烈追求，賈絲敏起初抗拒，卻對這位像自己求愛的女人留下了前所未有的印象。在妲拉絲鍥而不捨的追求之下，兩人終於陷入愛河，這段不可思議的浪漫關係，將衝擊賈絲敏過往按部就班的平穩生活……",92,5.6,https://movies.tw.campaign.yahoo.net/i/o/production/movies/July2017/hWLlKHY1z9COYOk0AQpk-1984x2835.jpg,2017-08-08 00:45:59.394,7000,慾亂唇迷,Below Her Mouth,2017-07-21 00:00:00.000,2017-07-21
