Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市松山區敦化北路168號B2,(02)25459434        ,170945              ,上弘,,,(02)25472928        ,121548287.390895,25056390.9685318,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.548287390895,25.056390968531797,7-11
台北市松山區八德路3段27號,(02)25794403        ,960661              ,中崙,,,(02)25774806        ,121552737.0,25048396.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.552737,25.048396,7-11
台北市松山區北寧路66號,(02)25794425        ,158923              ,北體,,,(02)25771113        ,121552850.0,25050888.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.55285,25.050888,7-11
台北市松山區八德路三段20-2號,(02)25796134        ,159340              ,台場,,,(02)25794824        ,121551158.0,25048086.0,台北市,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,松山區,121.551158,25.048086,7-11
台北市松山區南京東路四段10之1號 B1F,                    ,161387              ,巨蛋站,,,(02)25450939        ,121550836.0,25051489.0,台北市,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.550836,25.051489,7-11
台北市松山區市民大道路四段105號,(02)87710521        ,138583              ,市大,,,(02)87710481        ,121548085.0,25045127.0,台北市,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.548085,25.045127,7-11
台北市松山區民生東路3段127巷6號,(02)27170799        ,170082              ,民北,,,(02)25450784        ,121547410.0,25058518.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.54741,25.058518,7-11
台北市松山區民權東路3段108號,(02)25459022        ,961295              ,民有,,,(02)27154294        ,121544998.0,25061936.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,松山區,121.544998,25.061936,7-11
台北市松山區民生東路四段130號,(02)25140480        ,177142              ,民復,,,(02)25140673        ,121555146.0,25058106.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.555146,25.058106,7-11
台北市松山區延吉街27-1號1樓,(02)25794414        ,166832              ,吉仁,,,(02)25793557        ,121553689.0,25046070.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.553689,25.04607,7-11
